tranId,memberId,storeId,tranDate
2025-03-31T_1_10-38-58-261758_1,1134,1,31-03-2025
2025-03-31T_3_10-38-58-261758_2,1186,3,31-03-2025
2025-03-31T_1_10-38-58-261758_3,1112,1,31-03-2025
2025-03-31T_2_10-38-58-261758_4,1191,2,31-03-2025
2025-03-31T_1_10-38-58-261758_5,1165,1,31-03-2025
2025-03-31T_2_10-38-58-262292_6,1154,2,31-03-2025
2025-03-31T_1_10-38-58-262292_7,1198,1,31-03-2025
2025-03-31T_1_10-38-58-262292_8,1147,1,31-03-2025
2025-03-31T_2_10-38-58-262292_9,1146,2,31-03-2025
2025-03-31T_3_10-38-58-262292_10,1135,3,31-03-2025
2025-03-31T_3_10-38-58-262292_11,1175,3,31-03-2025
2025-03-31T_2_10-38-58-262292_12,1185,2,31-03-2025
2025-03-31T_2_10-38-58-262292_13,1185,2,31-03-2025
2025-03-31T_3_10-38-58-262292_14,1197,3,31-03-2025
2025-03-31T_2_10-38-58-262292_15,1176,2,31-03-2025
2025-03-31T_2_10-38-58-262292_16,1121,2,31-03-2025
2025-03-31T_2_10-38-58-262292_17,1179,2,31-03-2025
2025-03-31T_2_10-38-58-262292_18,1172,2,31-03-2025
2025-03-31T_1_10-38-58-262292_19,1136,1,31-03-2025
2025-03-31T_2_10-38-58-262292_20,1178,2,31-03-2025
2025-03-31T_1_10-38-58-262292_21,1192,1,31-03-2025
2025-03-31T_1_10-38-58-262292_22,1139,1,31-03-2025
2025-03-31T_2_10-38-58-263333_23,1144,2,31-03-2025
2025-03-31T_2_10-38-58-263333_24,1180,2,31-03-2025
2025-03-31T_1_10-38-58-263333_25,1111,1,31-03-2025
2025-03-31T_1_10-38-58-263333_26,1174,1,31-03-2025
2025-03-31T_3_10-38-58-263333_27,1123,3,31-03-2025
2025-03-31T_1_10-38-58-263333_28,1170,1,31-03-2025
2025-03-31T_1_10-38-58-263333_29,1146,1,31-03-2025
2025-03-31T_1_10-38-58-263333_30,1119,1,31-03-2025
2025-03-31T_1_10-38-58-263333_31,1149,1,31-03-2025
2025-03-31T_3_10-38-58-263333_32,1155,3,31-03-2025
2025-03-31T_3_10-38-58-263333_33,1200,3,31-03-2025
2025-03-31T_3_10-38-58-263333_34,1167,3,31-03-2025
2025-03-31T_2_10-38-58-263333_35,1172,2,31-03-2025
2025-03-31T_3_10-38-58-263333_36,1188,3,31-03-2025
2025-03-31T_2_10-38-58-264333_37,1169,2,31-03-2025
2025-03-31T_2_10-38-58-264333_38,1179,2,31-03-2025
2025-03-31T_2_10-38-58-264333_39,1122,2,31-03-2025
2025-03-31T_1_10-38-58-264333_40,1103,1,31-03-2025
2025-03-31T_1_10-38-58-264333_41,1139,1,31-03-2025
2025-03-31T_2_10-38-58-264333_42,1126,2,31-03-2025
2025-03-31T_2_10-38-58-264333_43,1183,2,31-03-2025
2025-03-31T_2_10-38-58-264333_44,1171,2,31-03-2025
2025-03-31T_2_10-38-58-264333_45,1121,2,31-03-2025
2025-03-31T_3_10-38-58-264333_46,1136,3,31-03-2025
2025-03-31T_3_10-38-58-264333_47,1191,3,31-03-2025
2025-03-31T_1_10-38-58-264333_48,1199,1,31-03-2025
2025-03-31T_3_10-38-58-264333_49,1147,3,31-03-2025
2025-03-31T_3_10-38-58-264333_49,1147,3,31-03-2025
