tranId,storeId,memberId,tranDate
2025-03-22T_3_19-38-23-246341_1,1148,3,2025-03-22
2025-03-22T_1_19-38-23-246341_2,1177,1,2025-03-22
2025-03-22T_1_19-38-23-246341_3,1172,1,2025-03-22
2025-03-22T_1_19-38-23-246341_4,1177,1,2025-03-22
2025-03-22T_3_19-38-23-246341_5,1119,3,2025-03-22
2025-03-22T_3_19-38-23-246341_6,1129,3,2025-03-22
2025-03-22T_3_19-38-23-246341_7,1114,3,2025-03-22
2025-03-22T_3_19-38-23-246341_8,1136,3,2025-03-22
2025-03-22T_3_19-38-23-246341_9,1184,3,2025-03-22
2025-03-22T_1_19-38-23-246341_10,1133,1,2025-03-22
2025-03-22T_1_19-38-23-246341_11,1127,1,2025-03-22
2025-03-22T_1_19-38-23-246341_12,1136,1,2025-03-22
2025-03-22T_2_19-38-23-246341_13,1102,2,2025-03-22
