tranId,memberId,storeId,tranDate
2025-03-28T_1_10-23-01-365913_1,1177,1,2025-03-28
2025-03-28T_3_10-23-01-365913_2,1114,3,2025-03-28
2025-03-28T_3_10-23-01-365913_3,1127,3,2025-03-28
2025-03-28T_2_10-23-01-366921_4,1143,2,2025-03-28
2025-03-28T_2_10-23-01-366921_5,1173,2,2025-03-28
2025-03-28T_3_10-23-01-366921_6,1124,3,2025-03-28
2025-03-28T_1_10-23-01-366921_7,1167,1,2025-03-28
2025-03-28T_3_10-23-01-366921_8,1101,3,2025-03-28
2025-03-28T_2_10-23-01-366921_9,1122,2,2025-03-28
2025-03-28T_2_10-23-01-367433_10,1188,2,2025-03-28
2025-03-28T_2_10-23-01-367433_11,1174,2,2025-03-28
2025-03-28T_2_10-23-01-367433_12,1119,2,2025-03-28
2025-03-28T_1_10-23-01-367433_13,1168,1,2025-03-28
2025-03-28T_1_10-23-01-367433_14,1101,1,2025-03-28
2025-03-28T_2_10-23-01-367433_15,1131,2,2025-03-28
2025-03-28T_3_10-23-01-367433_16,1102,3,2025-03-28
2025-03-28T_2_10-23-01-367433_17,1144,2,2025-03-28
2025-03-28T_2_10-23-01-367433_18,1181,2,2025-03-28
2025-03-28T_3_10-23-01-367433_19,1143,3,2025-03-28
2025-03-28T_3_10-23-01-367433_20,1179,3,2025-03-28
2025-03-28T_3_10-23-01-367433_21,1195,3,2025-03-28
