tranId,storeId,memberId,tranDate
2025-03-23T_1_14-25-11-261539_1,1194,1,2025-03-23
2025-03-23T_1_14-25-11-261539_2,1155,1,2025-03-23
2025-03-23T_3_14-25-11-261539_3,1188,3,2025-03-23
2025-03-23T_3_14-25-11-261539_4,1134,3,2025-03-23
2025-03-23T_1_14-25-11-261539_5,1161,1,2025-03-23
2025-03-23T_2_14-25-11-261539_6,1106,2,2025-03-23
2025-03-23T_1_14-25-11-261539_7,1124,1,2025-03-23
2025-03-23T_3_14-25-11-261539_8,1123,3,2025-03-23
2025-03-23T_3_14-25-11-261539_9,1144,3,2025-03-23
2025-03-23T_3_14-25-11-261539_10,1200,3,2025-03-23
2025-03-23T_1_14-25-11-261539_11,1168,1,2025-03-23
2025-03-23T_3_14-25-11-261539_12,1133,3,2025-03-23
2025-03-23T_2_14-25-11-261539_13,1195,2,2025-03-23
2025-03-23T_3_14-25-11-261539_14,1130,3,2025-03-23
2025-03-23T_1_14-25-11-261539_15,1146,1,2025-03-23
2025-03-23T_3_14-25-11-261539_16,1117,3,2025-03-23
2025-03-23T_1_14-25-11-261539_17,1152,1,2025-03-23
2025-03-23T_1_14-25-11-261539_18,1191,1,2025-03-23
2025-03-23T_1_14-25-11-261539_19,1177,1,2025-03-23
2025-03-23T_2_14-25-11-261539_20,1177,2,2025-03-23
2025-03-23T_3_14-25-11-261539_21,1113,3,2025-03-23
2025-03-23T_1_14-25-11-261539_22,1181,1,2025-03-23
2025-03-23T_2_14-25-11-261539_23,1189,2,2025-03-23
2025-03-23T_3_14-25-11-261539_24,1137,3,2025-03-23
2025-03-23T_1_14-25-11-261539_25,1121,1,2025-03-23
2025-03-23T_1_14-25-11-261539_26,1178,1,2025-03-23
2025-03-23T_2_14-25-11-261539_27,1121,2,2025-03-23
2025-03-23T_1_14-25-11-261539_28,1121,1,2025-03-23
2025-03-23T_1_14-25-11-261539_29,1167,1,2025-03-23
2025-03-23T_3_14-25-11-261539_30,1119,3,2025-03-23
2025-03-23T_2_14-25-11-261539_31,1122,2,2025-03-23
2025-03-23T_1_14-25-11-261539_32,1200,1,2025-03-23
2025-03-23T_1_14-25-11-261539_33,1130,1,2025-03-23
2025-03-23T_3_14-25-11-261539_34,1173,3,2025-03-23
2025-03-23T_1_14-25-11-261539_35,1154,1,2025-03-23
2025-03-23T_3_14-25-11-261539_36,1122,3,2025-03-23
2025-03-23T_2_14-25-11-261539_37,1114,2,2025-03-23
2025-03-23T_1_14-25-11-261539_38,1150,1,2025-03-23
2025-03-23T_1_14-25-11-261539_39,1150,1,2025-03-23
2025-03-23T_1_14-25-11-261539_40,1144,1,2025-03-23
2025-03-23T_1_14-25-11-261539_41,1149,1,2025-03-23
2025-03-23T_1_14-25-11-261539_42,1180,1,2025-03-23
2025-03-23T_2_14-25-11-261539_43,1180,2,2025-03-23
2025-03-23T_1_14-25-11-261539_44,1124,1,2025-03-23
2025-03-23T_2_14-25-11-261539_45,1177,2,2025-03-23
2025-03-23T_3_14-25-11-261539_46,1133,3,2025-03-23
2025-03-23T_3_14-25-11-261539_47,1158,3,2025-03-23
