tranId,storeId,memberId,tranDate
2025-03-20T_3_15-31-07-397108_1,1182,3,2025-03-20
2025-03-20T_2_15-31-07-397108_2,1175,2,2025-03-20
2025-03-20T_1_15-31-07-397108_3,1162,1,2025-03-20
2025-03-20T_1_15-31-07-398102_4,1113,1,2025-03-20
2025-03-20T_2_15-31-07-398102_5,1191,2,2025-03-20
2025-03-20T_1_15-31-07-398102_6,1158,1,2025-03-20
2025-03-20T_1_15-31-07-398102_7,1123,1,2025-03-20
2025-03-20T_2_15-31-07-398102_8,1200,2,2025-03-20
2025-03-20T_2_15-31-07-398102_9,1111,2,2025-03-20
2025-03-20T_2_15-31-07-398102_10,1102,2,2025-03-20
2025-03-20T_1_15-31-07-398102_11,1132,1,2025-03-20
2025-03-20T_1_15-31-07-398102_12,1181,1,2025-03-20
