tranId,memberId,storeId,tranDate
2025-03-30T_1_10-38-03-240221_1,1118,1,2025-03-30
2025-03-30T_2_10-38-03-240221_2,1155,2,2025-03-30
2025-03-30T_3_10-38-03-240221_3,1106,3,2025-03-30
2025-03-30T_1_10-38-03-240221_4,1134,1,2025-03-30
2025-03-30T_3_10-38-03-240221_5,1161,3,2025-03-30
2025-03-30T_3_10-38-03-240221_6,1148,3,2025-03-30
2025-03-30T_1_10-38-03-240221_7,1161,1,2025-03-30
2025-03-30T_1_10-38-03-240221_8,1177,1,2025-03-30
2025-03-30T_3_10-38-03-240221_9,1129,3,2025-03-30
2025-03-30T_3_10-38-03-240221_10,1136,3,2025-03-30
2025-03-30T_1_10-38-03-240221_11,1189,1,2025-03-30
2025-03-30T_2_10-38-03-240221_12,1165,2,2025-03-30
2025-03-30T_1_10-38-03-240221_13,1167,1,2025-03-30
2025-03-30T_3_10-38-03-240221_14,1151,3,2025-03-30
2025-03-30T_1_10-38-03-240221_15,1132,1,2025-03-30
2025-03-30T_1_10-38-03-240221_16,1141,1,2025-03-30
2025-03-30T_3_10-38-03-241322_17,1166,3,2025-03-30
2025-03-30T_3_10-38-03-241322_18,1182,3,2025-03-30
2025-03-30T_1_10-38-03-241322_19,1110,1,2025-03-30
2025-03-30T_3_10-38-03-241322_20,1156,3,2025-03-30
2025-03-30T_3_10-38-03-241322_21,1167,3,2025-03-30
2025-03-30T_2_10-38-03-241322_22,1142,2,2025-03-30
2025-03-30T_3_10-38-03-241322_23,1101,3,2025-03-30
2025-03-30T_3_10-38-03-241322_24,1178,3,2025-03-30
2025-03-30T_3_10-38-03-241322_25,1181,3,2025-03-30
2025-03-30T_1_10-38-03-241322_26,1183,1,2025-03-30
2025-03-30T_2_10-38-03-241322_27,1144,2,2025-03-30
2025-03-30T_1_10-38-03-241322_28,1162,1,2025-03-30
2025-03-30T_3_10-38-03-241322_29,1139,3,2025-03-30
2025-03-30T_1_10-38-03-241322_30,1133,1,2025-03-30
2025-03-30T_2_10-38-03-241322_31,1113,2,2025-03-30
