tranId,memberId,storeId,tranDate
2025-03-26T_1_14-48-39-052636_1,1105,1,2025-03-26
2025-03-26T_1_14-48-39-052636_2,1152,1,2025-03-26
2025-03-26T_1_14-48-39-053634_3,1123,1,2025-03-26
2025-03-26T_1_14-48-39-053634_4,1116,1,2025-03-26
2025-03-26T_3_14-48-39-053634_5,1133,3,2025-03-26
2025-03-26T_1_14-48-39-053634_6,1118,1,2025-03-26
2025-03-26T_2_14-48-39-053634_7,1117,2,2025-03-26
2025-03-26T_2_14-48-39-054633_8,1175,2,2025-03-26
2025-03-26T_3_14-48-39-054633_9,1156,3,2025-03-26
2025-03-26T_2_14-48-39-054633_10,1195,2,2025-03-26
2025-03-26T_2_14-48-39-054633_11,1136,2,2025-03-26
2025-03-26T_2_14-48-39-054633_12,1178,2,2025-03-26
2025-03-26T_1_14-48-39-054633_13,1119,1,2025-03-26
2025-03-26T_1_14-48-39-054633_14,1171,1,2025-03-26
2025-03-26T_1_14-48-39-054633_15,1145,1,2025-03-26
2025-03-26T_1_14-48-39-054633_16,1164,1,2025-03-26
2025-03-26T_1_14-48-39-054633_17,1103,1,2025-03-26
2025-03-26T_3_14-48-39-055634_18,1150,3,2025-03-26
2025-03-26T_3_14-48-39-055634_19,1182,3,2025-03-26
2025-03-26T_3_14-48-39-055634_20,1158,3,2025-03-26
2025-03-26T_2_14-48-39-055634_21,1109,2,2025-03-26
2025-03-26T_2_14-48-39-055634_22,1151,2,2025-03-26
2025-03-26T_1_14-48-39-055634_23,1124,1,2025-03-26
2025-03-26T_3_14-48-39-056638_24,1192,3,2025-03-26
2025-03-26T_2_14-48-39-056638_25,1109,2,2025-03-26
2025-03-26T_2_14-48-39-056638_26,1122,2,2025-03-26
2025-03-26T_2_14-48-39-056638_27,1151,2,2025-03-26
2025-03-26T_2_14-48-39-056638_28,1111,2,2025-03-26
