tranId,memberId,storeId,tranDate
2025-03-29T_3_10-36-08-768284_1,1125,3,2025-03-29
2025-03-29T_2_10-36-08-768284_2,1158,2,2025-03-29
2025-03-29T_3_10-36-08-768284_3,1149,3,2025-03-29
2025-03-29T_1_10-36-08-769307_4,1141,1,2025-03-29
2025-03-29T_3_10-36-08-769307_5,1111,3,2025-03-29
2025-03-29T_3_10-36-08-769307_6,1169,3,2025-03-29
2025-03-29T_2_10-36-08-769307_7,1128,2,2025-03-29
2025-03-29T_1_10-36-08-769307_8,1130,1,2025-03-29
2025-03-29T_1_10-36-08-769307_9,1178,1,2025-03-29
2025-03-29T_3_10-36-08-769307_10,1126,3,2025-03-29
2025-03-29T_2_10-36-08-769307_11,1110,2,2025-03-29
