tranId,memberId,storeId,tranDate
2025-03-25T_2_10-45-07-352035_1,1104,2,2025-03-25
2025-03-25T_2_10-45-07-352035_2,1128,2,2025-03-25
2025-03-25T_2_10-45-07-352035_3,1157,2,2025-03-25
2025-03-25T_1_10-45-07-352035_4,1109,1,2025-03-25
2025-03-25T_1_10-45-07-353041_5,1171,1,2025-03-25
2025-03-25T_1_10-45-07-353041_6,1119,1,2025-03-25
2025-03-25T_3_10-45-07-353041_7,1181,3,2025-03-25
2025-03-25T_3_10-45-07-353041_8,1174,3,2025-03-25
2025-03-25T_1_10-45-07-353041_9,1131,1,2025-03-25
2025-03-25T_2_10-45-07-353041_10,1111,2,2025-03-25
2025-03-25T_3_10-45-07-353041_11,1191,3,2025-03-25
2025-03-25T_2_10-45-07-353041_12,1151,2,2025-03-25
2025-03-25T_2_10-45-07-353041_13,1174,2,2025-03-25
2025-03-25T_2_10-45-07-353041_14,1178,2,2025-03-25
2025-03-25T_2_10-45-07-353041_15,1169,2,2025-03-25
2025-03-25T_2_10-45-07-353041_16,1101,2,2025-03-25
2025-03-25T_1_10-45-07-353041_17,1129,1,2025-03-25
2025-03-25T_1_10-45-07-353041_18,1186,1,2025-03-25
2025-03-25T_2_10-45-07-353041_19,1141,2,2025-03-25
2025-03-25T_3_10-45-07-353041_20,1126,3,2025-03-25
2025-03-25T_1_10-45-07-353041_21,1123,1,2025-03-25
2025-03-25T_3_10-45-07-353041_22,1182,3,2025-03-25
2025-03-25T_1_10-45-07-353041_23,1103,1,2025-03-25
2025-03-25T_3_10-45-07-353041_24,1136,3,2025-03-25
