tranId,productId,qty,amt,tranDate
2025-03-31T_1_10-38-58-261758_1,84,4,10.0,2025-03-31
2025-03-31T_1_10-38-58-261758_1,24,4,11.2,2025-03-31
2025-03-31T_1_10-38-58-261758_1,5,5,8.75,2025-03-31
2025-03-31T_1_10-38-58-261758_1,66,3,11.97,2025-03-31
2025-03-31T_1_10-38-58-261758_1,59,5,13.95,2025-03-31
2025-03-31T_1_10-38-58-261758_1,2,4,5.0,2025-03-31
2025-03-31T_1_10-38-58-261758_1,23,4,15.16,2025-03-31
2025-03-31T_3_10-38-58-261758_2,93,2,11.98,2025-03-31
2025-03-31T_3_10-38-58-261758_2,30,3,9.3,2025-03-31
2025-03-31T_3_10-38-58-261758_2,51,4,9.96,2025-03-31
2025-03-31T_3_10-38-58-261758_2,68,4,10.36,2025-03-31
2025-03-31T_3_10-38-58-261758_2,1,4,6.0,2025-03-31
2025-03-31T_3_10-38-58-261758_2,82,3,23.97,2025-03-31
2025-03-31T_3_10-38-58-261758_2,71,3,19.77,2025-03-31
2025-03-31T_3_10-38-58-261758_2,14,3,2.97,2025-03-31
2025-03-31T_3_10-38-58-261758_2,78,3,11.4,2025-03-31
2025-03-31T_1_10-38-58-261758_3,57,1,1.99,2025-03-31
2025-03-31T_1_10-38-58-261758_3,42,4,1.56,2025-03-31
2025-03-31T_1_10-38-58-261758_3,12,5,9.0,2025-03-31
2025-03-31T_1_10-38-58-261758_3,13,2,5.96,2025-03-31
2025-03-31T_1_10-38-58-261758_3,46,5,3.45,2025-03-31
2025-03-31T_1_10-38-58-261758_3,89,5,13.9,2025-03-31
2025-03-31T_1_10-38-58-261758_3,87,1,9.99,2025-03-31
2025-03-31T_1_10-38-58-261758_3,67,5,12.5,2025-03-31
2025-03-31T_1_10-38-58-261758_3,98,3,14.97,2025-03-31
2025-03-31T_1_10-38-58-261758_3,71,1,6.59,2025-03-31
2025-03-31T_1_10-38-58-261758_3,33,1,5.99,2025-03-31
2025-03-31T_1_10-38-58-261758_3,56,4,6.36,2025-03-31
2025-03-31T_1_10-38-58-261758_3,74,3,2.85,2025-03-31
2025-03-31T_1_10-38-58-261758_3,78,2,7.6,2025-03-31
2025-03-31T_1_10-38-58-261758_3,56,4,6.36,2025-03-31
2025-03-31T_1_10-38-58-261758_3,14,2,1.98,2025-03-31
2025-03-31T_1_10-38-58-261758_3,34,2,3.98,2025-03-31
2025-03-31T_1_10-38-58-261758_3,4,2,5.98,2025-03-31
2025-03-31T_1_10-38-58-261758_3,65,3,23.97,2025-03-31
2025-03-31T_2_10-38-58-261758_4,8,1,1.89,2025-03-31
2025-03-31T_2_10-38-58-261758_4,72,1,3.84,2025-03-31
2025-03-31T_2_10-38-58-261758_4,79,4,14.28,2025-03-31
2025-03-31T_2_10-38-58-261758_4,56,2,3.18,2025-03-31
2025-03-31T_2_10-38-58-261758_4,52,5,4.35,2025-03-31
2025-03-31T_2_10-38-58-261758_4,77,5,2.95,2025-03-31
2025-03-31T_2_10-38-58-261758_4,7,3,4.5,2025-03-31
2025-03-31T_2_10-38-58-261758_4,99,3,14.97,2025-03-31
2025-03-31T_2_10-38-58-261758_4,96,1,2.75,2025-03-31
2025-03-31T_2_10-38-58-261758_4,33,2,11.98,2025-03-31
2025-03-31T_2_10-38-58-261758_4,22,3,8.37,2025-03-31
2025-03-31T_2_10-38-58-261758_4,88,3,11.97,2025-03-31
2025-03-31T_2_10-38-58-261758_4,79,3,10.71,2025-03-31
2025-03-31T_2_10-38-58-261758_4,31,2,4.98,2025-03-31
2025-03-31T_2_10-38-58-261758_4,1,5,7.5,2025-03-31
2025-03-31T_2_10-38-58-261758_4,83,3,0.63,2025-03-31
2025-03-31T_2_10-38-58-261758_4,28,3,8.67,2025-03-31
