tranId,productId,qty,amt,tranDate
2025-03-29T_3_10-36-08-768284_1,87,4,39.96,2025-03-29
2025-03-29T_3_10-36-08-768284_1,17,2,9.0,2025-03-29
2025-03-29T_2_10-36-08-768284_2,3,3,7.35,2025-03-29
2025-03-29T_2_10-36-08-768284_2,40,4,14.36,2025-03-29
2025-03-29T_2_10-36-08-768284_2,7,2,3.0,2025-03-29
2025-03-29T_2_10-36-08-768284_2,85,3,14.97,2025-03-29
2025-03-29T_2_10-36-08-768284_2,30,5,15.5,2025-03-29
2025-03-29T_2_10-36-08-768284_2,90,3,2.97,2025-03-29
2025-03-29T_2_10-36-08-768284_2,90,1,0.99,2025-03-29
2025-03-29T_2_10-36-08-768284_2,65,5,39.95,2025-03-29
2025-03-29T_2_10-36-08-768284_2,50,2,5.2,2025-03-29
2025-03-29T_2_10-36-08-768284_2,47,3,7.5,2025-03-29
2025-03-29T_2_10-36-08-768284_2,31,1,2.49,2025-03-29
2025-03-29T_2_10-36-08-768284_2,33,5,29.95,2025-03-29
2025-03-29T_2_10-36-08-768284_2,89,1,2.78,2025-03-29
2025-03-29T_2_10-36-08-768284_2,36,4,9.56,2025-03-29
2025-03-29T_2_10-36-08-768284_2,1,2,3.0,2025-03-29
2025-03-29T_2_10-36-08-768284_2,88,4,15.96,2025-03-29
2025-03-29T_2_10-36-08-768284_2,69,2,7.98,2025-03-29
2025-03-29T_3_10-36-08-768284_3,99,5,24.95,2025-03-29
2025-03-29T_3_10-36-08-768284_3,78,1,3.8,2025-03-29
2025-03-29T_3_10-36-08-768284_3,25,2,4.7,2025-03-29
2025-03-29T_3_10-36-08-768284_3,45,3,2.97,2025-03-29
2025-03-29T_3_10-36-08-768284_3,48,1,2.39,2025-03-29
2025-03-29T_3_10-36-08-768284_3,51,4,9.96,2025-03-29
2025-03-29T_3_10-36-08-768284_3,53,1,0.99,2025-03-29
2025-03-29T_3_10-36-08-768284_3,65,2,15.98,2025-03-29
2025-03-29T_3_10-36-08-768284_3,63,4,15.16,2025-03-29
2025-03-29T_3_10-36-08-768284_3,55,3,2.34,2025-03-29
2025-03-29T_3_10-36-08-768284_3,33,3,17.97,2025-03-29
2025-03-29T_3_10-36-08-768284_3,82,1,7.99,2025-03-29
2025-03-29T_1_10-36-08-769307_4,31,2,4.98,2025-03-29
2025-03-29T_1_10-36-08-769307_4,20,2,2.78,2025-03-29
2025-03-29T_1_10-36-08-769307_4,95,1,2.99,2025-03-29
2025-03-29T_1_10-36-08-769307_4,65,1,7.99,2025-03-29
2025-03-29T_1_10-36-08-769307_4,30,5,15.5,2025-03-29
2025-03-29T_1_10-36-08-769307_4,98,5,24.95,2025-03-29
2025-03-29T_1_10-36-08-769307_4,20,2,2.78,2025-03-29
2025-03-29T_1_10-36-08-769307_4,19,3,10.35,2025-03-29
2025-03-29T_1_10-36-08-769307_4,15,5,14.9,2025-03-29
2025-03-29T_1_10-36-08-769307_4,27,5,10.75,2025-03-29
2025-03-29T_1_10-36-08-769307_4,97,1,5.99,2025-03-29
2025-03-29T_1_10-36-08-769307_4,49,5,19.95,2025-03-29
2025-03-29T_1_10-36-08-769307_4,97,2,11.98,2025-03-29
2025-03-29T_1_10-36-08-769307_4,92,1,2.49,2025-03-29
2025-03-29T_1_10-36-08-769307_4,84,4,10.0,2025-03-29
2025-03-29T_1_10-36-08-769307_4,56,3,4.77,2025-03-29
2025-03-29T_1_10-36-08-769307_4,62,3,19.5,2025-03-29
2025-03-29T_1_10-36-08-769307_4,90,4,3.96,2025-03-29
2025-03-29T_3_10-36-08-769307_5,85,2,9.98,2025-03-29
2025-03-29T_3_10-36-08-769307_5,67,3,7.5,2025-03-29
2025-03-29T_3_10-36-08-769307_5,61,5,6.45,2025-03-29
2025-03-29T_3_10-36-08-769307_6,29,4,10.6,2025-03-29
2025-03-29T_3_10-36-08-769307_6,24,1,2.8,2025-03-29
2025-03-29T_3_10-36-08-769307_6,74,1,0.95,2025-03-29
2025-03-29T_3_10-36-08-769307_6,28,2,5.78,2025-03-29
2025-03-29T_3_10-36-08-769307_6,64,1,4.46,2025-03-29
2025-03-29T_3_10-36-08-769307_6,74,3,2.85,2025-03-29
2025-03-29T_3_10-36-08-769307_6,53,2,1.98,2025-03-29
2025-03-29T_3_10-36-08-769307_6,94,2,3.98,2025-03-29
2025-03-29T_3_10-36-08-769307_6,70,2,7.0,2025-03-29
2025-03-29T_3_10-36-08-769307_6,95,5,14.95,2025-03-29
2025-03-29T_3_10-36-08-769307_6,1,3,4.5,2025-03-29
2025-03-29T_2_10-36-08-769307_7,72,1,3.84,2025-03-29
2025-03-29T_2_10-36-08-769307_7,1,1,1.5,2025-03-29
2025-03-29T_2_10-36-08-769307_7,85,3,14.97,2025-03-29
2025-03-29T_2_10-36-08-769307_7,9,2,5.98,2025-03-29
2025-03-29T_2_10-36-08-769307_7,8,3,5.67,2025-03-29
2025-03-29T_2_10-36-08-769307_7,86,5,6.45,2025-03-29
2025-03-29T_2_10-36-08-769307_7,87,5,49.95,2025-03-29
2025-03-29T_2_10-36-08-769307_7,81,3,10.77,2025-03-29
2025-03-29T_2_10-36-08-769307_7,6,5,9.95,2025-03-29
2025-03-29T_2_10-36-08-769307_7,93,5,29.95,2025-03-29
2025-03-29T_2_10-36-08-769307_7,60,4,7.96,2025-03-29
2025-03-29T_1_10-36-08-769307_8,14,5,4.95,2025-03-29
2025-03-29T_1_10-36-08-769307_8,17,1,4.5,2025-03-29
2025-03-29T_1_10-36-08-769307_8,83,2,0.42,2025-03-29
2025-03-29T_1_10-36-08-769307_8,86,4,5.16,2025-03-29
2025-03-29T_1_10-36-08-769307_8,80,1,4.98,2025-03-29
2025-03-29T_1_10-36-08-769307_9,40,2,7.18,2025-03-29
2025-03-29T_1_10-36-08-769307_9,90,5,4.95,2025-03-29
2025-03-29T_1_10-36-08-769307_9,8,3,5.67,2025-03-29
2025-03-29T_1_10-36-08-769307_9,49,1,3.99,2025-03-29
2025-03-29T_1_10-36-08-769307_9,1,5,7.5,2025-03-29
2025-03-29T_1_10-36-08-769307_9,16,3,9.42,2025-03-29
2025-03-29T_1_10-36-08-769307_9,42,3,1.17,2025-03-29
2025-03-29T_1_10-36-08-769307_9,35,4,8.36,2025-03-29
2025-03-29T_1_10-36-08-769307_9,20,1,1.39,2025-03-29
2025-03-29T_1_10-36-08-769307_9,92,3,7.47,2025-03-29
2025-03-29T_1_10-36-08-769307_9,96,3,8.25,2025-03-29
2025-03-29T_1_10-36-08-769307_9,31,3,7.47,2025-03-29
2025-03-29T_1_10-36-08-769307_9,12,4,7.2,2025-03-29
2025-03-29T_1_10-36-08-769307_9,80,4,19.92,2025-03-29
2025-03-29T_1_10-36-08-769307_9,66,3,11.97,2025-03-29
2025-03-29T_1_10-36-08-769307_9,36,4,9.56,2025-03-29
2025-03-29T_3_10-36-08-769307_10,7,2,3.0,2025-03-29
2025-03-29T_3_10-36-08-769307_10,63,3,11.37,2025-03-29
2025-03-29T_2_10-36-08-769307_11,19,5,17.25,2025-03-29
2025-03-29T_2_10-36-08-769307_11,72,4,15.36,2025-03-29
2025-03-29T_2_10-36-08-769307_11,23,1,3.79,2025-03-29
2025-03-29T_2_10-36-08-769307_11,1,4,6.0,2025-03-29
2025-03-29T_2_10-36-08-769307_11,10,4,7.16,2025-03-29
2025-03-29T_2_10-36-08-769307_11,53,5,4.95,2025-03-29
2025-03-29T_2_10-36-08-769307_11,19,3,10.35,2025-03-29
2025-03-29T_2_10-36-08-769307_11,4,1,2.99,2025-03-29
2025-03-29T_2_10-36-08-769307_11,14,3,2.97,2025-03-29
2025-03-29T_2_10-36-08-769307_11,95,5,14.95,2025-03-29
2025-03-29T_2_10-36-08-769307_11,73,2,7.98,2025-03-29
2025-03-29T_2_10-36-08-769307_11,60,1,1.99,2025-03-29
2025-03-29T_2_10-36-08-769307_11,10,5,8.95,2025-03-29
