tranId,productId,qty,amt,tranDate
2025-04-01T_1_10-08-56-976832_1,44,2,2.98,2025-04-01
2025-04-01T_1_10-08-56-976832_1,85,2,9.98,2025-04-01
2025-04-01T_1_10-08-56-976832_1,80,5,24.9,2025-04-01
2025-04-01T_1_10-08-56-976832_1,41,2,4.78,2025-04-01
2025-04-01T_1_10-08-56-976832_1,74,4,3.8,2025-04-01
2025-04-01T_1_10-08-56-976832_1,39,4,11.0,2025-04-01
2025-04-01T_1_10-08-56-976832_1,60,4,7.96,2025-04-01
2025-04-01T_1_10-08-56-976832_1,78,2,7.6,2025-04-01
2025-04-01T_1_10-08-56-976832_1,95,1,2.99,2025-04-01
2025-04-01T_1_10-08-56-976832_1,90,4,3.96,2025-04-01
